bugid,summary,component
1063787,Open link in new tab on the context menu stops working in an e10s window,Menus
1064169,url suggestions from history and bookmarks stopped  working,Address Bar
1065887,Uppercase with pseudo :first-letter not working if pseudo :before is used,Untriaged
1066203,User scripts not working with E10S,Untriaged
1067560,url autocompletion not working as expected in Firefox update 32.0.1,Untriaged
1068071,Firefox 32.0.1 on Windows 7 not working without reset and restarting computer,Untriaged
1068628,[e10s] e10s is not working in safe mode,General
1068844,Speedtest.net isn't working when Adblock Plus is enabled,Untriaged
1068859,[e10s] open link in browser not working,Untriaged
1069074,[e10s] Ctrl + S not working,Untriaged
1070720,Go Back One Page actions not working,Toolbars and Customization
1071314,document.open() and write() in an iframe prevents back button from working,Untriaged
1071524,SVG d3 graphics not working properly,General
1071598,Download is not working on lower bandwidth internet connection,Untriaged
1073322,version 32.0.2 stops mouse and keyboard from working,Untriaged
1073824,Auto hyphens not working on Ubuntu,Untriaged
1074143,dragging links not working anymore in E10S mode,Untriaged
1075208,"""Open menu"" button not working, just like some other tools (cutomize toolbar, inspect element)",Untriaged
1076678,Right click to open new tab not working on any web page,Untriaged
1077986,offline storage permission setting not working correctly,Preferences
1078090,[e10s] Flash plugin not working with E10S enabled.,Untriaged
1079713,Friefox browser home page reset option is not working,Untriaged
1080876,Firefox is not working properly.,Untriaged
1082177,"With font override, Monospace not working",Untriaged
1082488,Clipboard intermittently not working,Untriaged
1083659,"When a video is opened in facebook the Adobe flash payer stops working, which leads to plugin container stops working and finally all the open tabs are crashed",Untriaged
1085064,fire fox not working properly,Security
1086607,"Nightly causing Flash Player 15.0 r0 to stop working,",Untriaged
1087337,drag&drop re-ordering bookmarks in menu bar stopped working recently,Untriaged
1089182,firefox 34 not working properly on windows 8.1 update 1,Untriaged
1092622,Closing tab with middle mouse button when Firefox window is inactive isn't working anymore in OS X Yosemite,Untriaged
1092692,"Firefox show error messages ""Firefox(plugin name) has stopped working"" when shutdown Firefox Under Win8.1 Update, adopted Windows Update 2014-10",Untriaged
1092823,firefox mailto app not working will not show email in yahoo mail when clicking on an email address to send an email mail space is blank,Untriaged
1094671,login id not working,Untriaged
1095848,"Page scrolling using mouse wheel does not working when enable ""wheel gestures"" in FireGestures add-on",Extension Compatibility
1096434,Want to change/update Firefox Sync/get it working again!,Sync
1097338,firefox stopped working,Untriaged
1098235,search button is not working,Untriaged
1100980,MRU is not working,Tabbed Browser
1101067,[e10s] drag and drop not working (eg url can't be dragged to address bar),Untriaged
1101455,firefox is getting crashed while working,Untriaged
1102178,With Firefox 32.0.3 the option of browser.helperApps.neverAsk.saveToDisk is not working for zip files,Untriaged
1102663,Google Map Street View not working.,Untriaged
1103061,[e10s] 'Save page as' not working properly,Untriaged
1103326,"""Second Search"" addon stops working since Firefox34 b11",Search
1104638,http://planefinder.net/data/flight/FLIGHTNUMBER causes Firefox to stop working.,General
1105710,[E10S][Firefox36] Moz Repl (Extension) not working,Untriaged
1106331,Shortcuts for Search bar not working,Search
1107038,SVG Fill not working within symbol,Untriaged
1107347,tab selection and new tab not working,Tabbed Browser
1109167,login autocomplete and other things stop working after update to ff 34,Untriaged
1109205,Netflix not working (screen goes black when try to play)since firefox upgraded to 34.0.5,Untriaged
1109685,Dashlane Extension not working,Untriaged
1110668,Major failure: jQuery data() not working since 34.0.5 Update,Untriaged
1110679,Options/Show Windows and Tabs of the last session not working,Preferences
1110899,Sound constantly stop working after a while for any multimedia content,Untriaged
1111529, -moz-transform: translateX(-100%); not working in firefox new version > 34,Untriaged
1113125,Shortcut Add-on not working,Untriaged
1113218,"In Windows 7 Professional x64, Aero stops working after installing Firefox 34.0.5 and restarting Windows.",Untriaged
1113589,Window taskbar autohide stop working after firefox password manager popup,Untriaged
1114266,"""Open link in new tab/window/private window "" not working [E10S]",Untriaged
1114362,"Right click context menu ""Open link in New Tab"" not working with E10",Untriaged
1115828,blur filters working in pastebin but not http localhost,Untriaged
1115893,[e10s] drag and save image to desktop not working,General
1116224,"Firefox shows a font different (ordinary?) than Chrome and Opera, and animations not working at this page at Blogspot",Untriaged
1117008,"""Sort By Name"" in Bookmarks Not Working",Bookmarks & History
1117039,"Multi-fox add-on is not working,",Extension Compatibility
1117299,History search stopped working in location bar,Address Bar
1117433,Google search suggestions not working when adding Google as search engine,Untriaged
1120779,"Search box - dropdown menu not working on bugzilla, google, and some other sites",Search
1120853,"""Make Firefox my default browser"" - not working if Firefox isn't registered correctly with Windows as a 'browser' option",Installer
1121322,onpopuphidden on OS X not working right,Untriaged
1121461,network.negotiate-auth.trusted-uris stopped working with Update to FF35.0,Untriaged
1122410,Kerberos Auth (Win7 Client) not working since Version 35,Untriaged
1122524,"Some addons not working with FF35, e.g.  Adblock Plus",Untriaged
1124967,Not sure it is a bug butsince the release #35 the second part of this site is not working anymore. Go to www.raqi.ca/dstar-qc,Untriaged
1125485,"SVG animation for path is not working when ""fill"" property in keyframe is assigned ""none"".",Untriaged
1126910,[e10s] Copy image to clipboard not working,Untriaged
1128185,Back-button not working in ESR 31.4,Untriaged
1128251,pinch.out not working on Win 8,Untriaged
1130714,"Enter Key not working in Save dialogs with file name input (save image, save link as)",Keyboard Navigation
1130755,"Bug 1057764 - Download Manager regression in FF32, the same issue i have with firefox nighty but fix is not working.",Untriaged
1132389,catch(e){e.stack} : e.stack not working,Untriaged
1132411,Click() function not working when selecting different Year in Calendar using Selenium Firefox Webdriver,Untriaged
1132901,CSS animations not working on documents using XSL templates,Untriaged
1133293,input type date and datetime not working...,Untriaged
1135182,Always Ask Where to Save files not working?,Untriaged
1135374,Checkbox not working on capitainetrain.com,Untriaged
1135422,search engine on firefox start page is not working,Search
1135507,Copy Image from the context menu is not working,File Handling
1136748,"""Recently Closed Tabs"" & ""Recently Closed Windows"" not working",Untriaged
1137170,Update 36 - Firefox stopped working with Selenium Webdriver,Untriaged
1137551,Address bar history autocomplete no longer working correctly,Address Bar
1138256,Firefox 36 seeking video jwplayer not working properly (works with chrome),Untriaged
1139573,download helper not working,Untriaged
1142092,[e10s] Async scrolling is not working for touchscreen devices,General
1143389,Small caps not working on Firefox for Mac,General
1144419,Userscript Add-ons not working with latest Firefox Developer Edition,Extension Compatibility
